beer_ref,producer_name,beer_nm,beer_style,alc_vol
2389,Joseph James Brewing Inc. .,Double D Double Red Ale,American Amber / Red Ale,8.00 %
2390,Two Rows Restaurant & Brewery,Route 66 Amber Ale,American Amber / Red Ale,-
2391,The Actual Brewing Co. .,Elektron Aged In Bourbon Barrels,American Amber / Red Ale,6.20 %
2392,North Mountain Brewing Co. .,Octomalt,American Amber / Red Ale,6.70 %
2393,RedWillow Brewery,Sleepless,American Amber / Red Ale,5.40 %
2394,Hollywood Beach Brewing Company,Red Tide Amber Ale,American Amber / Red Ale,5.60 %
2395,Noire & Blanche,B'rousse Willis,American Amber / Red Ale,4.70 %
2396,Bagby Beer Company,Street ` Red,American Amber / Red Ale,6.40 %
2397,Galena Brewing Company,Paradox Ale,American Amber / Red Ale,4.10 %
2398,Great Lakes Brewing Co. .,Great Lakes Barrel Aged Nosferatu,American Amber / Red Ale,8.50 %
2399,Intuition Ale Works,Barrel Aged Riverside Red,American Amber / Red Ale,7.80 %
2400,Tooborac Hotel & Brewery,Woodcutter 's Amber Ale,American Amber / Red Ale,5.50 %
2401,Outpost Natural Foods,Mr. Grain Jeans Organic Amber Ale,American Amber / Red Ale,5.50 %
2402,Downpour Brewing,Cookie Ale,American Amber / Red Ale,8.50 %
2403,Schubros Brewery,Rock City Amber Ale,American Amber / Red Ale,5.70 %
2404,Marea Brewery,Marea,American Amber / Red Ale,5.40 %
2405,Prairie Fire Brewing Co. .,Bush Lite,American Amber / Red Ale,8.10 %
2406,Kona Brewing Co. .,Wela Red Ale,American Amber / Red Ale,5.00 %
2407,Ocelot Brewing Company,The Gallows Imperial Red,American Amber / Red Ale,9.30 %
2408,Bosque Brewing Co. .,Cottonwood Anniversary Ale,American Amber / Red Ale,9.50 %
2409,The Big Rip Brewing Company,Pennywise Sweet Tater Ale,American Amber / Red Ale,5.50 %
2410,Rincon Brewery,Warrior Pride Red Ale,American Amber / Red Ale,4.90 %
2411,Willimantic Brewing Co. .,Willimantic Return To Sender Ale,American Amber / Red Ale,5.40 %
2412,Hermit Thrush Brewery,Garnet,American Amber / Red Ale,6.40 %
2413,Right Brain Brewery,Big Boned Belgian Style Amber Ale,American Amber / Red Ale,5.40 %
2414,Iron Springs Pub & Brewery,Anne Marie 's Amber,American Amber / Red Ale,6.00 %
2415,Territorial Brewing Company,French Toast Ale,American Amber / Red Ale,7.60 %
2416,Ithaca Beer Company,# 05256,American Amber / Red Ale,6.30 %
2417,Yorkholo Brewing Co. .,Panama Red Ale,American Amber / Red Ale,6.10 %
2418,Bear Republic Brewing Co. .,Speed Bump,American Amber / Red Ale,4.60 %
2419,Moo-Duck Brewery,409 Amber Ale,American Amber / Red Ale,5.50 %
2420,Wichita Brewing Co. & Pizzeria West,5:03 Imperial Amber,American Amber / Red Ale,7.75 %
2421,J. Wakefield Brewing,Amber Waves Amber Ale,American Amber / Red Ale,-
2422,Flat Tail Brewing,Flat Tail Amber Ale,American Amber / Red Ale,5.00 %
2423,Figure 8 Brewing,Bourbon Barrel Ro Shampo Imperial Red Ale,American Amber / Red Ale,-
2424,M. T. Head Brewing Co. .,Punter 's Special Ale,American Amber / Red Ale,4.90 %
2425,Burley Oak Brewery,Ruder Boy ( Aged In Bourbon Barrels ),American Amber / Red Ale,13.80 %
2426,Blue Skye Brewery & Eats,Fire Engine Red,American Amber / Red Ale,-
2427,Saddle Mountain Brewing Company,Taildragger _ ™ s Chasing Tail,American Amber / Red Ale,-
2428,Zaftig Brewing Co. .,Heavy Hearted Amber,American Amber / Red Ale,8.00 %
2429,Right Brain Brewery,Waltzing Matilda Rye Amber Ale,American Amber / Red Ale,5.00 %
2430,Max 's Fanno Creek Brew Pub,Dry Hopped Pacific Red,American Amber / Red Ale,5.70 %
2431,Secret Engine Brewing,Sticke Handwerker,American Amber / Red Ale,6.70 %
2432,Fallen Brewing Company,Dragonfly,American Amber / Red Ale,4.60 %
2433,Breckenridge Brewery,Mountain Series : Love Rhino ( Imperial Red Ale ),American Amber / Red Ale,8.90 %
2434,Bandwagon Brew Pub,The Honey Brunette,American Amber / Red Ale,5.50 %
2435,Island Hoppin ' Brewery,Sunrise Amber,American Amber / Red Ale,-
2436,Rivertowne Pourhouse,Redrum Red Ale,American Amber / Red Ale,6.10 %
2437,Declaration Brewing Company,Hardtack Copper,American Amber / Red Ale,5.30 %
2438,CervecerÃa Maddok,Volcano Red Ale,American Amber / Red Ale,6.50 %
2439,Funky Buddha Brewery,Do n't Fear The Reaper,American Amber / Red Ale,-
2440,Corfu Beer,Corfu Ale Special,American Amber / Red Ale,5.00 %
2441,Duel Brewing,Bad Amber,American Amber / Red Ale,6.00 %
2442,Emmett 's Brewing Company,Cask Conditioned Red Ale,American Amber / Red Ale,5.60 %
2443,38 State Brewing Company,Titan Rock Red,American Amber / Red Ale,6.80 %
2444,Natty Greene 's Pub & Brewing Co. .,Buck And Ball Double Amber Ale,American Amber / Red Ale,6.80 %
2445,Denver Beer Co. .,Summit Sunrise,American Amber / Red Ale,6.90 %
2446,Yolo Brewing Company,The Assemblyman,American Amber / Red Ale,6.40 %
2447,Natty Greene 's Pub & Brewing Co. .,Double Ought Buck Double Amber,American Amber / Red Ale,9.50 %
2448,Manor Hill Brewing,Imperial Amber,American Amber / Red Ale,-
2449,Greenbush Brewing Company,Butter Pecan,American Amber / Red Ale,-
2450,Innovation Brewing,Phat Chance Amber,American Amber / Red Ale,5.50 %
2451,Greenbush Brewing Company,Blue Moon,American Amber / Red Ale,-
2452,MalmÃ ¶ Brewing Co,Point Reyes Amber,American Amber / Red Ale,4.90 %
2453,BiÃ ¨ res de RÃ ©,La Blanche Amb ` RÃ ©,American Amber / Red Ale,5.80 %
2454,SoMe Brewing Company,Agamenticus Amber Ale,American Amber / Red Ale,5.50 %
2455,MalmÃ ¶ Brewing Co,Ruby Soho Red Ale,American Amber / Red Ale,4.60 %
2456,La Brasserie Du Val De DrÃ ´ me,Markus AmbrÃ © e,American Amber / Red Ale,6.20 %
2457,Hillbilly Brewing,Wisconsin Amber Ale,American Amber / Red Ale,-
2458,Sisyphus Brewing,Tri-City Beer,American Amber / Red Ale,6.90 %
2459,House of Pendragon Brewing Company,Agravain Amber,American Amber / Red Ale,6.60 %
2460,Nano Brew Cleveland,Nano Rat Imperial Red,American Amber / Red Ale,8.50 %
2461,Lift Bridge Brewery,Libertine,American Amber / Red Ale,8.50 %
2462,Gull Dam Brewing,Gull Dam Amber Ale,American Amber / Red Ale,6.00 %
2463,Fuller Smith & Turner PLC,Fullers Traitors ' Gate,American Amber / Red Ale,4.50 %
2464,Hoppy Brewing Co. .,Ruby Slipper Ale,American Amber / Red Ale,7.10 %
2465,Acoustic Ales Brewing Experiment,Surly Mosh Pit,American Amber / Red Ale,9.00 %
2466,Waikiki Brewing Company,Ala Moana Amber,American Amber / Red Ale,5.62 %
2467,J Wells Brewery,Lisa,American Amber / Red Ale,6.00 %
2468,BrickHouse Brewery,Son Of Chugga,American Amber / Red Ale,6.80 %
2469,Deschutes Brewery,Commuter Amber,American Amber / Red Ale,4.60 %
2470,South Fork Brewing Company,Nerdy Girl,American Amber / Red Ale,-
2471,Garage Project,Pan Pacific,American Amber / Red Ale,6.00 %
2472,Black Oak Brewing Co. .,Black Oak Love Fuzz,American Amber / Red Ale,5.50 %
2473,Gillette Brewing Company,Avenue Amber,American Amber / Red Ale,4.50 %
2474,Fortitude Brewing Company,Noisy Minor Admiral Ackbar Anti-Imperial Red Ale,American Amber / Red Ale,8.50 %
2475,Second Street Brewery,Railyard Red,American Amber / Red Ale,6.60 %
2476,Locavore Beer Works,Armistice Amber Ale,American Amber / Red Ale,6.00 %
2477,CB Craft Brewers,Stoneyard Ripper 's Red Ale,American Amber / Red Ale,6.25 %
2478,Tustin Brewing Company,Dog Ditch Amber,American Amber / Red Ale,-
2479,Negev Brewery,Negev Amber Ale,American Amber / Red Ale,4.90 %
2480,Wild Ride Brewing Co. .,3 Sisters American Red Ale,American Amber / Red Ale,6.00 %
2481,Moncada Brewery Ltd,Notting Hill Amber,American Amber / Red Ale,4.70 %
2482,Trickster 's Brewing Company,Inspector Stonewall 's Amber Ale,American Amber / Red Ale,5.60 %
2483,Pigskin Brewing Company,Legendary Amber,American Amber / Red Ale,-
2484,Finback Brewery,Attain In Inner Peach,American Amber / Red Ale,-
2485,Brasserie De Brunehaut,Levrette Bio,American Amber / Red Ale,6.50 %
2486,Northbound Brewpub,High Alert Double Red,American Amber / Red Ale,8.40 %
2487,Bube 's Brewery,Hopback Amber,American Amber / Red Ale,5.20 %
2488,Bin Brewing,Saskberry,American Amber / Red Ale,-
2489,Rock & Run Brewery and Pub,Amarillo Anonymous,American Amber / Red Ale,6.00 %
2490,Mistura ClÃ ¡ ssica,Mistura ClÃ ¡ ssica Amber,American Amber / Red Ale,6.00 %
2491,The Civil Life Brewing Company,5 Star Amber Ale,American Amber / Red Ale,5.00 %
2492,Bayhawk Ales,Capistrano Amber,American Amber / Red Ale,5.50 %
2493,American Brewing Company,Ed 's Red,American Amber / Red Ale,5.00 %
2494,Scottsdale Beer Company,Easy Amber Ale,American Amber / Red Ale,5.70 %
2495,The Brewery at Abigaile,Coconut Imperial Red,American Amber / Red Ale,9.40 %
2496,Portsmouth Brewery,Portsmouth Amber Dandy With Cayenne,American Amber / Red Ale,-
2497,CP Brewery at Brews and Cues,Billabong Brew,American Amber / Red Ale,-
2498,Himmelberger Brewing Co. .,North 40 Amber,American Amber / Red Ale,4.20 %
2499,49th State Brewing Company,Amber Borealis,American Amber / Red Ale,5.30 %
2500,Twisted Manzanita Ales,Rustic Horizon Red With Breakfast Tea,American Amber / Red Ale,5.60 %
2501,Brew By Numbers,16 | 02 Red Ale ( Amarillo Citra Simcoe ),American Amber / Red Ale,5.40 %
2502,Rudder 's Seafood Restaurant & Brew Pub,Rudder 's Red,American Amber / Red Ale,-
2503,Grizzly Peak Brewing Company,Grizzly Peak Junicade Red,American Amber / Red Ale,-
2504,Echo Brewpub & Pizzeria,Echo Amber ( Altbier ),American Amber / Red Ale,5.20 %
2505,Birdland Brewing Company,Red Wing,American Amber / Red Ale,6.00 %
2506,Iron Hill Brewery & Restaurant,Shirt Tail Amber,American Amber / Red Ale,4.40 %
2507,Birdsview Brewing Company,Scraps,American Amber / Red Ale,-
2508,Three Palms Brewing Co. .,Ruby Pogo,American Amber / Red Ale,7.50 %
2509,FireWheel Brewing Company,Honey Brew-Brew,American Amber / Red Ale,6.00 %
2510,Hopworks Urban Brewery,The Spirit Of The 90 's ( 2015 Symposium Ale ),American Amber / Red Ale,5.50 %
2511,Sick N Twisted Brewing Co. .,Hopped Up Red Ale,American Amber / Red Ale,8.00 %
2512,Junction Craft Brewing,Pumukl,American Amber / Red Ale,4.50 %
2513,Red Leg Brewing Company,Howitzer Amber,American Amber / Red Ale,5.90 %
2514,12 String Brewing Company,Archtop Amber,American Amber / Red Ale,5.50 %
2515,Iron Hill Brewery & Restaurant,Rye-Zen-Shine,American Amber / Red Ale,6.00 %
2516,MÃ ² R Brewery,MÃ ² R-ish !,American Amber / Red Ale,4.20 %
2517,Last Best Eatery & Brewpub,Caramel Latte Beer,American Amber / Red Ale,5.30 %
2518,Boxcar Brewing Co. .,California Amber,American Amber / Red Ale,6.00 %
2519,Fly Boy Brewery & Eats,Round Engine Red,American Amber / Red Ale,-
2520,2kids Brewing Company,And To All A Good Light,American Amber / Red Ale,3.40 %
2521,Glasstown Brewing Co. .,Glasstown Ale,American Amber / Red Ale,-
2522,Gro_en Bart Brewery,Anker Beard Amber,American Amber / Red Ale,5.30 %
2523,Creekside Brewing Company,Creekside Rippoff Red Ale,American Amber / Red Ale,5.80 %
2524,Whistle Stop Restaurant & Woodman Brewery,Devil 's Gate Red Ale,American Amber / Red Ale,-
2525,Bill 's Tavern & Brewhouse,Dick 's Oatmeal IRA,American Amber / Red Ale,8.00 %
2526,Boone Valley Brewing,Barrel Aged Imperial Red Ale,American Amber / Red Ale,9.99 %
2527,Big Woods Brewing Co. / Quaff On ! Brewing Company,Java The Red,American Amber / Red Ale,5.50 %
2528,Alvarado Street Brewery & Grill,Pumpkin Pie Amber,American Amber / Red Ale,6.00 %
2529,Scottsdale Beer Company,Uncle Rico _ ™ s Red Ale,American Amber / Red Ale,8.80 %
2530,Monks CafÃ ©,Monks Cafe Orange Ale,American Amber / Red Ale,5.60 %
2531,Blue Star Brewing Company,Apache Amber,American Amber / Red Ale,-
2532,The Hermosillo / Highland Park Brewery,Red Tick,American Amber / Red Ale,4.50 %
2533,Hops and Grain Brewery,Dispensary Red Ale,American Amber / Red Ale,-
2534,Top Rung Brewing Company,360 Red Ale,American Amber / Red Ale,5.80 %
2535,Nine Yards Brewing,Homewrecker Red,American Amber / Red Ale,5.50 %
2536,Newport Beach Brewing Company,Boneyard Red Ale,American Amber / Red Ale,-
2537,Island Hoppin ' Brewery,Driftwood,American Amber / Red Ale,-
2538,The Cambridge House Brewpub,Cambridge House Lime Rock Red,American Amber / Red Ale,6.00 %
2539,Old Bust Head Brewing Co. .,Virginia Hop Harvest - Amber IPA ( 2015 ),American Amber / Red Ale,7.70 %
2540,Tall Paul 's Brewhouse,Little Wind Red,American Amber / Red Ale,-
2541,Steelhead Brewing Co. .,Emerald Irish Ale,American Amber / Red Ale,6.20 %
2542,Uncle Billy 's Brew & Que,The Stiletto,American Amber / Red Ale,5.00 %
2543,10 Barrel Brewing Co. .,Red Faucher,American Amber / Red Ale,6.50 %
2544,Three Notch 'd Brewing Company,Unite Red Ale,American Amber / Red Ale,5.10 %
2545,Wicked Weed Brewing,Duke Of Rochester,American Amber / Red Ale,5.50 %
2546,Emmett 's Brewing Company,Centennial Amber Ale,American Amber / Red Ale,5.20 %
2547,7 Fjell Bryggeri,Walkendorff,American Amber / Red Ale,6.00 %
2548,Dennis Beer Co. .,Rocket Science Red Planet,American Amber / Red Ale,6.40 %
2549,Lewis Beer Company,Finsbury Park Amber Ale,American Amber / Red Ale,4.40 %
2550,Playalinda Brewing Company,Rocket Man Red Ale,American Amber / Red Ale,5.00 %
2551,Sandude Brewing Co. .,Shades Of Amber,American Amber / Red Ale,5.00 %
2552,Discretion Brewing,Glorioski Amber,American Amber / Red Ale,5.70 %
2553,Railroad Seafood Station Brewing Company,Texas Red,American Amber / Red Ale,4.80 %
2554,O'so Brewing Company & Tap House,CafÃ © AmbrÃ ©,American Amber / Red Ale,7.00 %
2555,FÃ ¡ brica Maravillas,IRRA,American Amber / Red Ale,-
2556,Middleton Brewing,Ca n't Catch Me !,American Amber / Red Ale,-
2557,Devils Peak Brewing Company,Woodhead Amber Ale,American Amber / Red Ale,5.00 %
2558,Bainbridge Island Brewing Company,Arrow Point Amber,American Amber / Red Ale,5.40 %
2559,BrewLAB,Red Roots,American Amber / Red Ale,5.70 %
2560,Station 26 Brewing Co. .,American Copper,American Amber / Red Ale,5.40 %
2561,Earth Eagle Brewings,Cap'n Beef Hearts,American Amber / Red Ale,6.20 %
2562,Reaver Beach Brewing Company,Icarus Farmhouse Red,American Amber / Red Ale,6.00 %
2563,Trouble Brewing,Agent Provocateur,American Amber / Red Ale,6.20 %
2564,Cerveceria Berber S.A. de C.V.,Ambar,American Amber / Red Ale,4.10 %
2565,Rustic Road Brewing Company,Accommodation Amber,American Amber / Red Ale,5.20 %
2566,Cassel Brewery Co. .,Lil ' Red Steamer,American Amber / Red Ale,5.20 %
2567,Original Gravity Brewing Company,Cone-Azalia Red Ale,American Amber / Red Ale,5.10 %
2568,LyonSmith Brewing Company,Rhiannon Irish Red,American Amber / Red Ale,6.00 %
2569,Progress Brewing,Wolverine,American Amber / Red Ale,5.00 %
2570,Microbrasserie La Captive,La `` Pyro `` mane,American Amber / Red Ale,4.90 %
2571,Medusa Brewing Company,Island Of Misfit Hops # 1,American Amber / Red Ale,7.40 %
2572,Red Rock Brewing Company,Red Rock Opie Red Ale,American Amber / Red Ale,4.00 %
2573,The Beer Company,Wyatt Earp,American Amber / Red Ale,7.00 %
2574,Laht Neppur Brewing Company,Golden Ale,American Amber / Red Ale,6.00 %
2575,Old Soul Brewing,Mulligan,American Amber / Red Ale,6.20 %
2576,Brasserie De La Cote De Jade,Brigantine Ambree,American Amber / Red Ale,5.00 %
2577,Our Brewing Co. .,Daybreak,American Amber / Red Ale,7.30 %
2578,Hilden Brewing Company / Taproom,Headless Dog,American Amber / Red Ale,4.20 %
2579,Alpine Dog Brewing Company,Hogback Amber Ale,American Amber / Red Ale,5.00 %
2580,Tioga-Sequoia Brewing Company,Firefall Red,American Amber / Red Ale,5.50 %
2581,Berkshire Brewing Company Inc. .,Avery Point Amber,American Amber / Red Ale,-
2582,Oskar Blues Grill & Brew,Rock Candy Red,American Amber / Red Ale,-
2583,Backshore Brewing Company,Amberjack,American Amber / Red Ale,6.50 %
2584,Goat Ridge Brewing Co. .,New London Amber,American Amber / Red Ale,5.20 %
2585,Twin Peaks Brewing & Malting Co. .,Mic Sager 's Agnew Amber,American Amber / Red Ale,-
2586,Ladyface Ale Companie,Chip Off The Old Block,American Amber / Red Ale,-
2587,BNS Brewing & Distilling Co. .,The Hills Have Eyes,American Amber / Red Ale,5.20 %
2588,Ass Clown Brewing,Honey Oat Amber,American Amber / Red Ale,6.60 %
2589,Brew By Numbers,16 | 03 Red Ale ( Mosaic & Chinook ),American Amber / Red Ale,5.50 %
2590,Broken Bottle Brewery,AFD Red,American Amber / Red Ale,5.40 %
2591,Ass Clown Brewing,Hopped Up Amber,American Amber / Red Ale,6.70 %
2592,New Holland Brewing Company,New Holland Adam 's Apple,American Amber / Red Ale,-
2593,Mike Hess Brewing - Miramar,Unite Red Ale,American Amber / Red Ale,4.60 %
2594,Beaver Brewing Company,All About Amber,American Amber / Red Ale,4.50 %
2595,RÃ ¶ k House Brewing Company,Eric The Red Ale,American Amber / Red Ale,6.50 %
2596,Great Storm Brewing Co. .,Brass Ale Honey Amber,American Amber / Red Ale,5.30 %
2597,BadWolf Brewing Company,Aetheria,American Amber / Red Ale,4.70 %
2598,Glenwood Canyon Brewing / Canyon Brew Pub,Dos Rios Amber Lager,American Amber / Red Ale,-
2599,El Toro Brewing Co. .,Poppy Jasper Brewed With Citra Hops,American Amber / Red Ale,-
2600,Red Ear Brewing Company,Red October,American Amber / Red Ale,6.90 %
2601,Epic Ales,Rustic Red Ale,American Amber / Red Ale,7.20 %
2602,Bainbridge Island Brewing Company,Broadhead Bourbon Barrel Aged Red,American Amber / Red Ale,8.50 %
2603,El Toro Brewing Co. .,Poppy Jasper Brewed With Nugget Hops,American Amber / Red Ale,-
2604,Grafton Winery & Brewhaus,Grafton Brewhaus Red Ale,American Amber / Red Ale,-
2605,Stronzo Brewing Co. .,Stronzo Red Frikken Ale,American Amber / Red Ale,6.20 %
2606,Sudwerk Brewing Company,Sons Of Anarchy Amber Ale,American Amber / Red Ale,4.70 %
