pub_id,publication_venue,pub_year,subject_title,written_by
7038,"social studies and the young learner ,",1999.0,an honorable mention project,d lerner
7039,,,technologies for e-services,"f casati , d georgakopoulos"
7040,"journal of personality and social psychology ,",,sex role adaptability : one consequence of psychological androgyny,sl bem
7041,"sigmod record ,",1982.0,temporal database bibliography update,"acms record , s record"
7042,"ph. d. thesis california univ. , santa barbara. ,",1978.0,exchange perturbation theories applied to electron-hydrogen atom scattering,ca venanzi
7043,"cochrane database syst rev ,",2000.0,nonsteroidal antiinflammatory drugs for low back pain,"mw van tulder , rj scholten , bw koes , ra deyo"
7044,"sigmod conference ,",2002.0,an adaptive peer-to-peer network for distributed caching of olap results,p kalnis
7045,"new directions for teaching and learning ,",1996.0,the '' certification '' paradigm,"h smith , b walvoord"
7046,"proceedings of international conference on very large & hellip ; ,",,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new"
7047,"proc . intl. conf . computer vision iccv98 , bombay , india , jan ,",,stereo depth estimation : the confidence interval approach,"g kamberova , r bajcsy"
7048,"psychopharmacology ,",1995.0,"amphetamine , cocaine , and dizocilpine enhance performance on a lever-release , conditioned avoidance","i white , j christensen , g flory , d miller , g rebec"
7049,"proceedings of the 25 thaas guidance and control conf. , & hellip ; ,",,preliminary optimal orbit design for the laser interferometer space antenna,sp hughes
7050,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2002.0,substructure analysis of complex systems using rigid body information of components,"ws hwang , dh lee"
7051,"proc . acm urban syrup ,",,urban analysis and the computer : a strategic approach for urban policy analysis,sj bernstein
7052,demonstration,,"classroom 2000 : a system for capturing and accessing multimedia classroom experiences , acm chi ' 98 ,","g abowd , j brotherton , j bhalodia"
7053,,1988.0,"an encyclopedia publisher 's perspective , interactive multimedia , apple computer inc",p cook
7054,"popular music and society ,",2001.0,"another history of bluegrass : the segregation of american popular music , 1820-1900",a farmelo
7055,"journal of emergency medicine ,",1996.0,methemoglobinemia secondary to cleaning solution ingestion,"l freeman , rw wolford"
7056,"proceedings-ieee ,",2000.0,bluetooth-a new low-power radio interface providing short-range connectivity,"jc haartsen , s mattisson"
7057,"proceedings of acm chi ,",,chat circles groupware,"f viegas , j donath"
7058,proceedings of the 23rd iasted international conference on,,"sz and tokhi , mo ( 2004a ) . neuro-adaptive vibration suppression of flexible beam structures",m hashim
7059,"journal of personality and social psychology ,",1997.0,how would i feel if ... ? mood as input to a role fulfillment evaluation process,"ll martin , t abend , c sedikides , jd green"
7060,"acm transactions on internet technology ,",2004.0,fine-grained control of security capabilities,"d boneh , x ding , g tsudik"
7061,,,adenocarcinoma of the uterine cervix associated with pregnancy : a retrospective 10-year,"cl cook-glenn , s keyhani-rofagha"
7062,"journal of emergency medicine ,",2000.0,a novel assay for cobalt-albumin binding and its potential as a marker for myocardial ischemia-a,"d bar-or , e lau , jv winkler"
7063,,,"formal eavesdropping and its computational interpretation , 2001","m abadi , j jurjens"
7064,"proceedings of the acm sigact sigmod sigart symposium on & hellip ; ,",1996.0,managing rule conflicts in an active database,"hv jagadish , ao mendelzon , is mumick"
7065,"sigmod conference ,",1997.0,scalable parallel data mining for association rules,eh hanâ ? ¦
7066,"proc . of acmsigmod 2000 international conference on & hellip ; ,",,xtract : a system for extracting document type descriptors from xml documents,"a gionis , m garofalakis , r rastogi , s seshadri , k"
7067,"acm transactions on database systems ,",1976.0,on user criteria for data model evaluation,wc mcgee
7068,,,decentralised and hierarchical control of interconnected uncertain systems,a bahnasawi
7069,"proc . acm symposium on applied computing ,",,a realization of a concurrent object-oriented programming language,"ch jo , cj lee , j son"
7070,"proc . acm urban symposium ,",,public access to computerized record systems,me mccombs
7071,"vldb ,",2003.0,grid and applications ( industrial session ),f leymann
7072,"electronic design ,",,â ?? a review of complementary transistor circuits,ras is
7073,"sigmod record ,",1996.0,spotfire : an information exploration environment,c ahlberg
7074,"proc . of sigmod ,",,the nimble integration system,"d draper , ay halevy , ds weld"
7075,"information and software technology ,",1991.0,distributed ada : case study,"ra volz , p krishnan , r theriault"
7076,,,entrepreneur or intermediary : the nature of the relationship manager 's job,"cs iacono , m subramani"
7077,"proc . acm symp ,",,"ã cents â ? ¬ å?analysis of low density codes and improved designs using irregular graphs , ã cents â ? ¬ â ? in","mg luby , m mitzenmacher , ma shokrollahi , da"
7078,"acm transactions on database systems ,",,"statistical profile estimation in database systems . cornput suru . 20 , 3 ( sept. 1988 ) , 191-221","m mannino , p chu , t sager"
7079,"electronic letters ,",,hr filtering on delta-sigma modulated signals,"da johns , dm lewis"
7080,,,computer documentation for senior citizens,s tilley
7081,"der chirurg ,",1999.0,risiken und komplikationen der schilddrã 1/4 senchirurgie hã $ ufigkeit und therapie,"hd rã ¶ her , pe goretzki , p hellmann , j witte"
7082,"proc . of acm siggraph ,",,surface simplification using quadric error bounds,"m garland , p heckbert"
7083,,1990.0,models for smooth infinitesimal analysis,"i moerdijk , ge reyes"
7084,"bull . geol . soc . greece , athens ,",,evidence for turonian rift related extensional subsidence and tertiary backthrusting : the almopias,"i sharp , ahf robertson"
7085,"new directions for teaching and learning ,",1994.0,mentoring : an adult developmental perspective,ml otto
7086,,,managing knowledge about information system evolution,"m jarke , t rose"
7087,"report submitted to region ,",,a review of wildlife management practices in north dakota : effects on nongame bird populations and,"g berkey , r crawford , s galipeau , d johnson , d"
7088,"tropical geography ,",2001.0,assessment of the ecological environment in hainan island based on rs & gis,"m rong-hua , h meng-chun"
7089,"the proceedings of the 22th very large database ( vldb ) & hellip ; ,",,incremental maintenance od externally materialized views,"m staudy , m jarke"
7090,"pc magazine ,",1993.0,how dos programs can use over 1mb of ram,j prosise
7091,"bt technology journal ,",2004.0,simplicity,j maeda
7092,"lecture notes in computer science ,",2001.0,a query language based on the ambient logic,"l cardelli , g ghelli"
7093,"acm trans . database syst . ( to appear ) ,",,"a structured approach for the definition of the semantics of active databases . tech . pep . 95-028 ,","p fraternali , l tanca"
7094,sigmod,,"bpredator : a resource for database research , â ?? â ??",p seshadri
7095,"computer networks ,",2001.0,how to do high-speed multicast right !,"g doerries , l zier"
7096,"journal of machine learning research ,",,on the algorithmic interpretation of multiclass kernel-based vector machines,"k crammer , y singer"
7097,"proc . icann ,",,parametrized self-organizing maps,h ritter
7098,"data engineering , 2004 . proceedings . 20th international",,minimization and group-by detection for nested xqueries,"a deutsch , y papakonstantinou , y xu"
7099,,2000.0,relativistic astrophysics in black hole and low-mass neutron star binaries ltsa98,w cui
7100,"computerworld ,",,sick software,c jones
7101,csp demonstration,,"morse , â ??",m hopper
7102,"academy of management journal ,",2000.0,a panel study of coping with involuntary job loss,"aj kinicki , ge prussia , fm mckee-ryan"
7103,,,the implementation and performance of compressed databases,twd kossmann
7104,"see ref ,",,osmotic phenomena in smooth muscle,af brading
7105,"proc . of 14th vldb conference ,",,"j , ousterhout , â ?? the design of xprs , â ??","m stonebraker , r katz , d patterson"
7106,"computerworld ,",,bank re-engineers to fight mexican inflation,t hoffman
7107,submitted for,,symmetric and asymmetric traffic in multitier cellular systems,"a iera , a molinaro , s marano"
7108,"procs . of the conf.â ?? logic , mathematics and computer",,grobner basis property on elimination ideals in finite group theory,"ma borges-trenard , h perez-roses , m borges -"
7109,"electronic products ,",,"virtual instrument what they are , where theyâ ? ² re at",p benneff
7110,,,"seismic regionalization , signal detector and source locator","es husebye , yv fedorenko"
7111,"san diego ,",,9685 scranton road,m simulations
7112,"pflã 1/4 gers archiv european journal of physiology ,",1961.0,die abhã $ ngigkeit des o 2-verbrauchs der niere von der na-rã 1/4 ckresorption,"p deetjen , k kramer"
7113,"submitted for publication ,",,aggregation of a polypeptide with expanded polyglutamine domain in yeast cells leads to defects in,"ab meriin , x zhang , nb miliarasâ ? ¦"
7114,"proc . of the acm sigmod conf . on management of data ,",,disjunctive queries in object bases,"a kemper , g moerkotte , k peithner , m steinbrunn"
7115,"ieee transactions on knowledge and data engineering ,",2002.0,"a study of concurrency control in real-time , active database systems","a datta , sh son"
7116,"proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0,an improved algorithm for finding a key of a relation,s kundu
7117,proceedings of,,"temporal coalescing with now , incomplete information , and granularity",ce dyreson
7118,"new directions for teaching and learning ,",2003.0,internet metaphors matter,mi taniguchi
7119,"phil . mag ,",,the sparking potential of air for high frequency discharges,"ewb gill , rh donaldson"
7120,"proceedings of acm sigcomm ,",,targeted denial of service attacks,"a kuzmanovic , ew knightly , tcp low-rate"
7121,"proc . acm/ieee design automution conf ,",,"a. sangiovanni-vincentelli , â ?? interface-based design , â ??",ja rowson
7122,"proceedings of the 21st international conference on very & hellip ; ,",,generalizinggloss to vector-space databases and broker hierachies,lgh garcia-molina
7123,"information and software technology ,",1994.0,modelling the case process : empirical issues and future directions,"s king , r galliers"
7124,"cochrane database syst rev ,",2000.0,beclomethasone for asthma in children : effects on linear growth,"pj sharek , da bergman"
7125,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,when code is content : experiments with a whistling machine,"m bã ¶ hlen , jt rinker"
7126,"proc . 29th annual meeting of jsce , part ,",,influence of the intermediate principal stress on mechanical properties of a sand,"s ogawa , s mitsui , o takemure"
7127,"information and software technology ,",1990.0,prototyping : helping to build the right software,g tate
7128,"acm trans . database systems ,",,a methodology for the creation of user views during database design,"vc storey , rc goldstein"
7129,"procs . jssst03 ,",,mathgridlink-a bridge between mathematica and the grid,"d tepeneu , t ida"
7130,"proceedings of the 13th annual acm international conference & hellip ; ,",2005.0,physics-motivated features for distinguishing photographic images and computer graphics,"tt ng , sf chang , j hsu , l xie , mp tsui"
7131,"management decision ,",2000.0,enhancing organisational creativity : the process of perpetual challenging,"c andriopoulos , a lowe"
7132,"sigmod record ,",2004.0,replica allocation for correlated data items in ad hoc sensor networks,"t hara , n murakami , s nishio"
7133,"proc . very large data bases , cannes ,",,a history of system r and sql/data system,ra yost
7134,"journal of emergency medicine ,",1996.0,"efficacy and safety of d-sotalol , a pure class iii antiarrhythmic compound , in patients with","s hohnloser , t meinertz , p stubbs"
7135,"proc . spie ,",1999.0,photoinduced alignment of lc polymers by the combination of photo-orientation and thermotropic self -,"j stumpe , t fischer , m rutloh , r rosenhauer , jg"
7136,"no to hattatsu ,",2001.0,"neural stem cells , as a source of graft material for transplantation in neuronal disease","w akamatsu , h okano"
7137,"acm sigmod record ,",,the knowledge based management systems project .,"g wiederhold , j kaplan , d sagalowicz"
7138,"proceedings of 2003 international conference on management & hellip ; ,",,a study on the framework of grid based decision support system,"c jiayu , c xueguang , s ling"
7139,"manuscript , university of california , santa barbara ,",,towards a unification of topic constructions .,e raposo
7140,"new directions for higher education ,",1986.0,perspectives on pricing .,lh litten
7141,"j. phys . i ( france ) ,",1993.0,dynamics of manifolds in random media : the self-consistent hartree approximation,h kinzelbach
7142,,,"globalizaciã ³ n , inmigraciã ³ n y educaciã ³ n , universidad de granada , granada",e gervilla
7143,"proceedings of the international conference on very large & hellip ; ,",2004.0,an injection of tree awareness : adding staircase join to postgresql,"s mayer , t grust , m van keulen , j teubner"
7144,"phil . mag ,",,"pitt , and wilhelm",b mclennan
7145,"technical university berlin , ilr ,",,sensitivity analysis of assumptions determining size and cost of lunar installations,hh koelle
7146,"computerworld. ,",1990.0,computer challenges ekg as heart saver of future .,m johnson
7147,,,"age classique ( paris : gallimard , 1972 ) , 90",h foucault
7148,"cochrane database syst rev ,",2000.0,biopsychosocial rehabilitation for upper limb repetitive strain injuries in working age adults,"k karjalainen , a malmivaara , m van tulder , r roine"
7149,,,cell structures for future dramâ ?? s,h sunami
7150,proc . int . carnahan conf . security,,password authentication using public-key encryption,ty hwang
7151,"acm sigmod ,",,a data model and data structures for moving objects databases,"e nardelli , m schneider , l forlizzi , rh gã 1/4 ting"
7152,"& hellip ; engineering international , iabse , zurich , switzerland ,",,"the south bridge , kyiv , ukraine","mh korniyiv , gb fuks"
7153,"lecture notes in computer science ,",2000.0,polymorphic versus monomorphic flow-insensitive points-to analysis for c,"js foster , m fahndrich , a aiken"
7154,"proceedings of the 2nd acm sigact-sigmod symposium on & hellip ; ,",1983.0,independent and separable database schemes,"epf chan , ao mendelzon"
7155,"new directions for higher education ,",1993.0,strategic restructuring : a case study .,ja hyatt
7156,"intergenerational innovations , seattle , washington ,",,communications skills training,c chambers
7157,"geography ,",,temaâ ?? the geography of a new port,d hilling
7158,"pc magazine ,",,twelve tips for better presentations,g venditto
7159,"data engineering , 2004 . proceedings . 20th international",,benchmarking sap r/3 archiving scenarios,"b zeller , a kemper"
7160,"transplantation proceedings ,",1996.0,peripheral tolerance induction : lessons from immune privileged sites and tissues,jw streilein
7161,,,"ipo underpricing , insider selling and subsequent equity offerings : is underpricing a signal of",ja garfinkel
7162,"political geography ,",1996.0,mapping politics : how context counts in electoral geography,j agnew
7163,"proc . acm sigmod conference ,",,srinivasan . accessing relational databases fromtheworld wide web,t nguyenandv
7164,,2002.0,robust model predictive control,y wang
7165,"technical university munich , munich ,",,presentation at the workshop on future low energy neutrino experiments,"g horton-smith , j atwell , rd mckeown , p vogel"
7166,"sigmod record ,",2005.0,cmm and tods,r snodgrass
7167,"cochrane database syst rev ,",2000.0,calcium channel blockers for acute traumatic brain injury,"j langham , c goldfrad , g teasdale , d shaw , k rowan"
7168,,1999.0,com + verstehen .,ds platt
7169,proceedings of the seventeenth acm sigact-sigmod-sigart,,logic based modeling and analysis of workflows [ a ],"d hasan , k michael"
7170,"area ,",2001.0,key facts,"rl escobar , d party , p radical"
7171,"acm transactions on database systems ,",1989.0,variable-depth trie index optimization : theory and experimental results,"r ramesh , ajg babu , jp kincaid"
7172,"md ,",2000.0,temperature mapping of magnetic resonance-guided laser interstitial thermal therapy ( litt ) in,"gkh eyrich , e bruder , p hilfiker , b dubno , hh"
7173,,,quickset : a multimodal interface for distributed interactive simulation,"pr cohen , l chen , j clow , m johnston , d mcgee , j"
7174,"proc . lee ,",,pole assignment self-tuning regulator,"pe wellstead , d prager , p zanker"
7175,"cochrane database syst rev ,",2001.0,"short-term treatment with proton pump inhibitors , h2-receptor antagonists and prokinetics for gastro","b van pinxteren , me numans , pa bonis , j lau"
7176,"bt technology journal ,",2000.0,terms of usage privacy policy code of ethics contact us,a steventon
7177,,,optimistic strategies for large-scale dissemination of multimedia information,"r yavatkar , l manoj"
7178,"proceedings of the international conference on very large & hellip ; ,",2004.0,xwave : optimal and approximate extended wavelets for streaming data,"s guha , c kim , k shim"
7179,"sigmod conference ,",2002.0,automating physical database design in a parallel database,j rao
7180,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0,automatic generation of self-test programsâ ?? a new feature of the mimola design system,g krã 1/4 ger
7181,"computer networks ,",,optimization of mixed-media communication networks,k maruyama
7182,,,silberschatza ( 1988 ) extended algebraandcalculusfornestedrelationaldatabases,"ma roth , hf korth"
7183,"j. phys . i france ,",1991.0,repton model of gel electrophoresis and diffusion,"b widom , jl viovy , ad defontaines"
7184,,,"kluwer academic publishers , 1991",i approach
7185,,,incremental maximization of non-instance-averaging utility functions with applications to knowledge,", s wrobel"
7186,"isbn ,",,the encyclopedia of higher education ( four volumes ),"b clark , g neave"
7187,"proceedings of 2001 international conference on management & hellip ; ,",2001.0,traffic forecasting method study on economic development area [ a ],"gai chun-ying , pei yu-long"
7188,"proc . int . symp . eurock â ?? 92 ,",,"d. wood and s. shah , â ?? a modified hoek-brown failure criterion for jointed rock massesâ ??",e hoek
7189,,,implications of classical scheduling results for real-time systems,ja stankovic
7190,"proc . 29th eur . solid-state device research conf ,",,implications of pocket optimization on analog performance in deep sub-micron cmos,"rfm roes , a van brandenburg , ah montree , ph"
7191,,,a characterization of de bruijn digraphs,"y wu , r jia , q li"
7192,"acm sigmod , etats-unis , juin ,",,"ode ( object database and environment ) , the language and the data model actes","r agrawal , n gehani"
7193,"new directions for higher education ,",2000.0,midlevel administrators : what we know,vj rosser
7194,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2000.0,investigation on emission characteristics of a compression ignition engine with oxygenated fuels and,"hw wang , zh huang , lb zhou , dm jiang , zl yang"
7195,,,implementation of an agent-based business process,g pang
7196,"acc . chem . res ,",2005.0,3-d molecular assembly of function in titania-based composite material systems .,"mh bartl , sw boettcher , kl frindell , gd stucky"
7197,,1998.0,building distributed control systems using distributed active realtime databases,m lundin
7198,proceedings of 27th international conference on very large,,multi-dimensional constrained gradients in data cubes,"g dong , j han , j lam , j pei , k wang"
7199,acm transactions on database systems,,whang and r. krishnamurthy . query optimization in a memory-resident domain relational calculus,k wk
7200,"lecture notes in computer science ,",2002.0,the design of a cots real-time distributed security kernel,"m correia , p verissimo , nf neves"
7201,"history of programming languages ,",1978.0,a history of the snobol programming languages,re griswold
7202,"& hellip ; journal of intelligent information processing systems ,",,coloring that reveals cluster structures in multivariate data,"s kaski , j venna , t kohonen"
7203,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,fingerprinting and forensic analysis of multimedia,"d schonberg , d kirovski"
7204,"the academy of management review ,",1987.0,the organizational impact of profit sharing,gw florkowski
7205,"proc . acm multimedia ,",,an integrated color-spatial approach to content-based image retrieval,"h wynne , ts chua , hk pung"
7206,"vldb ,",1998.0,fast high-dimensional data search in incomplete databases,"bc ooi , ch goh , kl tan"
7207,"san diego : lucent ,",,the other america : teens in prison,gb stewart
7208,"proceedings of sigmod ,",,eddies : continuous query optimization,"r avnur , j hellerstein"
7209,"proceedings of the 23rd symposium on naval hydrodynamicsâ ?? , & hellip ; ,",,computation of nonlinear turbulent free surface flows using the parallel uncle code,"m beddhu , r pankajakshan , my jiang , m remotigue , c"
7210,"computerworld ,",,testing for usability can head off disaster,b stahl
7211,"proceedings of the 17th vldb conference ,",,deriving production rules for incremental rule maintenance,"s ceri , j widom"
7212,"computerworld. ,",1981.0,mccracken : software faces seven major issues .,r shoor
7213,"computer networks ,",2005.0,analysis of handoff in a location-aware vertical multi-access network,"m ylianttila , j mã $ kelã $ , k pahlavan"
7214,"journal of personality and social psychology ,",1988.0,mood and the mundane : relations between daily life events and self-reported mood,"la clark , d watson"
7215,"acm sigplan notices ,",1992.0,constraintlisp : an object-oriented constraint programming language ',"b liu , yw ku"
7216,,,"comprehensive support for graphical , highly interactive user interfaces","ba myers , da giuse , rb dannenberg , ds kosbie , e"
7217,,,the psychology of interpersonal relations,f heider
7218,"proceedings of acm multimedia ,",,modeling focus of attention for meeting indexing,"s rainer , y jie , w alex"
7219,"sigmod record ,",1996.0,"shutdown , budget , and funding",x qian
7220,"ibm research division almaden research center , juin ,",,"matrix transpose on meshes with wormhole and xy routing , rapp . tech",c ho
7221,"master &#39; s thesis , mit laboratory for computer science ,",,aspects of a high-performance parallel-architecture simulator,ea brewer
7222,"sigmod conference ,",1995.0,a general solution of the n-dimensional b-tree problem,m freeston
7223,"history of programming languages . academic press , new york ,",,keynote address to the acm history of programming languages ~ conference,gm hopper
7224,"proc . acm sigmod conf . on management of data ,",,a graphical query language suplx ~ rting recursion,"if cruz , ao mendelzon , pt wood"
7225,"journal of the acm ( jacm ) ,",1965.0,discrete orthonormal sequences,pw broome
7226,"ieee computer ,",,"l. oâ ?? gorman , â ?? an object model for image recognition , â ??",hv jagadish
7227,"proceedings of the 23rd annual conference of the mathematics & hellip ; ,",,mathematics beyond 2000,r spanneberg
7228,"j. phys . i ,",,the crystal structure of resr 2 gacu 2 oy,"g roth , p adelmann , g heger , r knitter , t wolf"
7229,"new directions in higher education ,",1975.0,advising for goals development and assessment of educational resources .,bj sloan
7230,proceedings of acm,,"turtle , and david d. lewis . 1991 . '' the use of phrases and structured queries in information","wb croft , r howard"
7231,at .,,radioecological consequences of the radiation accident on the nuclear-powered submarine in bukhta,"yv sivintsev , vl vysotskii , va danilyan"
7232,,,e-commerceâ ?? s garage-band days are over,m wagner
7233,"information and software technology ,",,an empirical evaluation of defect testing techniques,"m roper , m wood , j miller"
7234,"proceedings of the 1991 acm sigmod international conference & hellip ; ,",1991.0,mmdb reload algorithms,mh eich
7235,,,idi : informative summarization of differences in multidimensional aggregates,s sarawagi
7236,"proc . int . omithol . congr ,",,some adaptations in the nesting behavior of terns,jm cullen
7237,"proceedings of the 28th vldb confrerence ,",,joining multiple data streams with window constraints,"m hammad , w aref , k elmagarmid"
7238,,,fast lossy internet image transmission,"jm danskin , gm davis , x song"
7239,"virology-new york - ,",1996.0,conservation of a hairpin ribozyme sequence in hiv-1 is required for efficient viral replication,"o yamada , g kraus , b sargueil , q yu , jm burke , f"
7240,"new directions for teaching and learning ,",1998.0,academic service learning : a counternormative pedagogy,jpf howard
7241,"lecture notes in computer science ,",2002.0,localized rademacher complexities,"pl bartlett , o bousquet , s mendelson"
7242,"journal of emergency medicine ,",1993.0,abdominal wall and stomach perforation following accidental electrocution with high tension wire : a,"s kumar , s thomas , s lehri"
7243,"new directions for higher education ,",1981.0,educating the public about energy conservation .,gs schiff
7244,"technical university of denmark ,",,aqueous electrolyte : model parameters and process simula-tionph d thesis,k thomsen
7245,,2002.0,neuronal discrimination capacity,"j feng , p williams"
7246,"journal of web semantics ,",2003.0,tap : a semantic web test-bed,"r guha , r mccool"
7247,,,alkylated metal compounds mimic signal molecules : the induction of programmed cell death via,"hf krug , p herrlich"
7248,"new directions for teaching and learning ,",1999.0,taking diversity seriously : new developments in teaching for diversity,llb border
7249,"the academy of management journal ,",1996.0,guanxi : connections as substitutes for formal institutional support,"kr xin , jl pearce"
7250,"athens , greece : software engineering laboratory , national & hellip ; ,",,yasm : yet another software development methodology,e skordalakis
7251,"advances in soil science-new york - ,",1992.0,soil water repellency,"mg wallis , dj horne"
7252,"computer networks ,",,secure network management by delegation,j schoenwaelder
7253,,,the impact of xml on databases and data sharing,"l seligman , a rosenthal"
7254,"acm sigmod record ,",,cheap,bjdd is really
7255,,1990.0,ncgia research initiative 3 technical report : multiple representation,bp buttenfield
7256,,,india 's nuclear posture after pokhran ii,k bajpai
7257,"journal of personality and social psychology ,",1985.0,if it changes it must be a process : study of emotion and coping during three stages of a college,"s folkman , rs lazarus"
7258,"transplant proc ,",1990.0,donor-specific factors predict graft function following liver transplantation,"pd greig , j forster , ra superina , sm strasberg , m"
7259,,,efficient dynamic-programming updates in partially observable markov decision processes,"ml littman , ar cassandra , lp kaelbling"
7260,"dallas , tx , may ,",,"lof : identifying densitybased local outliers , acm sigmod conference , vol","mm breunig , hp kriegel , rt ng , j sander"
7261,submitted for,,designing clusters with infiniband : early experience with mellanox technology,"j liu , j wu , dk panda , c shamir"
7262,,1985.0,"the influence of gender , occupation , ecological status , autonomy , and decision making opportunity on",if rockman
7263,"proceedings of the 13th annual acm international conference & hellip ; ,",2005.0,automatic video annotation using ontologies extended with visual information,"m bertini , a del bimbo , c torniai"
7264,"ieee , proceedings ,",1984.0,constructions and properties of costas arrays,"sw golomb , h taylor"
7265,"proceedings of the international conference on very large & hellip ; ,",2003.0,locking protocols for materialized aggregate join views,"g luo , jf naughton , cj ellmann , mw watzke"
7266,"at kerney ,",,logistics excellence in europe,at kearney
7267,"association of american geographers annual conference , new & hellip ; ,",,social exclusion goes digital ? a critical reconceptualisation of the â ?? digital divideâ ??,"r gill , ac pratt"
7268,"proceedings of the acm sigmod conference on management of & hellip ; ,",1995.0,the merge/purge problem for large databases,s stolfo
7269,,,j am oil chem soc,"jj la scala , rp wool"
7270,"pc-magazine , russian",,c++ as the living language,s boris
7271,"isbn ,",,nutrition decision tree,"wm dear , y webb"
7272,"proceedings of the international conference on very large & hellip ; ,",2004.0,on the performance of bitmap indices for high cardinality attributes,"k wu , e otoo , a shoshani"
7273,"computer networks ,",1984.0,fortran interface to x. 25 and transport service .,g andreoni
7274,"proceedings of the international conference on very large & hellip ; ,",1994.0,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom"
7275,"international conference ecological technology and & hellip ; ,",,integrated urban air quality control and management,l kliucininkas
7276,"new directions for higher education ,",1997.0,assessment of general learning : state university of new york college at fredonia,jr hurtgen
7277,,2002.0,visual basic . net step by step,m halvorson
7278,"geography ,",,the decline of seasonal labour migration to the coffee forests of south-west ethiopia,ap wood
7279,"journal of emergency medicine ,",1992.0,effective hand degerming in the presence of blood .,"e larson , l bobo"
7280,"& hellip ; analysis products division , mathsoft , seattle , washington ,",,s-plus 2000 : programmerâ ?? s guide,i mathsoft
7281,,1988.0,synchrotron radiation applications in mineralogy and petrology : selection of papers,ss augustithis
7282,proc . of acm,,retargeting motion to new characters,m gleisher
7283,,,automated lip-synch and speech synthesis for character animation,"jp lewis , fi parke"
7284,"proceedings of the 4th international workshop on computer & hellip ; ,",,ecomrisk . org : an e-commerce security resource,"f makedon , c heckmanâ ? ¦"
7285,proceedings of the international conference on very large,,"hill , and da wood . dbmss on a modern processor : where does time go in","ag adhw , dj ailamaki , md dewitt"
7286,"journal of personality and social psychology ,",,the contagion of self-focus within a dyad,"b stephenson , ra wicklund"
7287,"proc . 29th ann . meeting , aquatic plant control research & hellip ; ,",,mesocosm evaluation of a new endothall polymer formulation .,"md netherland , eg turner"
7288,"deixis consultants , seattle , washington ,",,"freshwater mollusks of the upper sacramento system , california , with particular reference to the","tj frest , ej johannes"
7289,"see ref ,",,dipivalyl epinephrine ( dpe ) : a new prodrug in the treatment of glaucoma,"ai mandell , sm podos"
7290,"bt technology journal ,",1999.0,a scheme for predicting user-perceived networked application performance,"ma oliver , iw phillips , dj parish , kr bharadia"
7291,"electronic ceramics ,",1991.0,high-frequency ceramic dielectrics and their application for microwave components,w wersing
7292,"proceedings of the 25th international conference on very & hellip ; ,",1999.0,"industrial panel on data warehousing technologies : experiences , challenges , and directions",u dayal
7293,proc . int . symp .,,"a bit-level systolic block fir filter chip with built-in self-test structure , ''","jc wang , cw wu"
7294,"sigmod record ,",2004.0,report on the edbtâ ?? 04 workshop on database technologies for handling xml information on the web,"m mesiti , b catania , g guerrini , a chaudhri"
7295,,2000.0,prophylactic benefits at exam time on cell mediated immunity through self hypnosis training,"jh gruzelier , f smith , a nagy , d henderson"
7296,"proceedings of anlp-2000 , seattle , washington ,",2000.0,a divide-and-conquer strategy for shallow parsing of german free texts,"g neumann , c braun , j piskorski"
7297,"hamilton publishing , santa barbara ,",,computers in modern ~ ociecy,"rj kochenburger , cj turcio"
7298,"cochrane database syst rev ,",2002.0,intravenous or enteral loop diuretics for preterm infants with ( or developing ) chronic lung disease,"lp brion , ra primhak"
7299,"& hellip ; symposium proceedings . athens , greece : university of athens ,",,"the late quaternary environmental history of the windmill islands , east antarctica-initial evidence","h cremer , d gore , h kirkup , a mc minn , m melles , d"
7300,"vldb ,",1985.0,multirelations - semantice and languages,"a klausner , n goodman"
7301,"sigmod conference ,",1998.0,catching the boat with strudel : experiences with a web-site management system,", d florescu , j kang"
7302,"new directions for teaching and learning ,",2004.0,decoding genetics and molecular biology : sharing the movies in our heads,"m zolan , s strome , r innes"
7303,,2002.0,is & t 's nip18 int . conf . digital printing technol,"k suganami , m takeuchi , t oguchi"
7304,"& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",1976.0,application of evaporography to imaging of far-infrared radiation patterns,"g dodel , j krautter , h haeglsperger"
7305,acm sigmod international conference on management of,,the sequoia storage benchmark,"m stonebraker , j frew , k gardels , j meredith"
7306,"proc . int . computer music conf ,",,a physical piano model for music performance,"g borin , d rocchesso , f scalcon"
7307,"sigmod record ,",1999.0,agent-based semantic interoperability in infosleuth .,acms anthology
7308,"the california islands : proceedings of a multidisciplinary & hellip ; ,",1980.0,"species number , stability , and equilibrium status of reptile faunas on the california islands",ba wilcox
7309,"& hellip ; of international conference on mobile data management , jan ,",,camel : a moving object database approach for intelligent location aware services,"c ying , rao fangyan , yu xiulan , liu dong"
7310,,1986.0,the economic future.â ??,pt christianity
7311,,,confidence in b2b sinks to a major new low .,m meehan
