pub_id,researchers,conf_journal,doc_year
56339,"yg zhang , mc chaturvedi",,1993.0
56340,"s schmidt , h berthold , w lehner",,
56341,en goldenberg,"new directions for teaching and learning ,",2001.0
56342,"t austin , e larson , d ernstâ ? ¦","ieee computer ,",2002.0
56343,"p beynon-davies , s holmes","information & software technology ,",2002.0
56344,"m farina , a bramanti , p di barba","proc . of eurogen2001 athens , greece ,",
56345,"t catarci , if cruz","acm sigmod record ,",
56346,j felsenstein,seattle : university of,
56347,"h mistry , p roy , s sudarshan , k ramamritham","sigmod conference ,",2001.0
56348,t sellisâ ? ¦,"sigmod record , new york ,",
56349,"f katsuki , t uomoto","rilem proceedings ,",1995.0
56350,"p clarke , j privat , es patus , g tsirtsis","bt technology journal ,",2000.0
56351,"c baral , tc son",submitted for,
56352,b mitchell-powellâ ? ¦,"social studies and the young learner ,",1995.0
56353,b cole-gomolski,"computerworld ,",
56354,"p bachoo , m brazzelli , a grant","cochrane database syst rev ,",2000.0
56355,"rh bonczek , ji cash , ab whinston","acm transactions on database systems ,",1977.0
56356,"lr rabiner , jh mcclellan , tw parks","ieee proceedings ,",1975.0
56357,"r barga , s chen , d lomet","data engineering , 2004 . proceedings . 20th international",
56358,s land,"microsoft , may ,",
56359,d bloomâ ? ¦,,2000.0
56360,"cs reichardt , sf rallis","new directions for program evaluation ,",
56361,"cr robins , rm bailey , ce bond , jr brooker , ea","md ,",
56362,a hargreaves,"international journal of educational research ,",2001.0
56363,"sh chen , bt chie",,
56364,n koroloff,statewide parent organization demonstration,
56365,"s wally , jr baum","the academy of management journal ,",1994.0
56366,j brahy,,
56367,"f chazal , a lieutier",,
56368,"s roberson , rb marinenko , js small , d blackburn , d","microbeam analysisâ ?? 1995 , proc 29th ann conf micro beam & hellip ; ,",
56369,s dickson,proceedings of acm,
56370,"kb bruce , p wegner","acm sigplan notices ,",1986.0
56371,"a aggarwal , b alpern , ak chandra , m snir","proc . 19th acm stoc ,",
56372,"a bultheel , pg vera , e hendriksen , o njastad",,
56373,k steel,"electronic markets ,",
56374,l lori,"& hellip ; acm international multimedia conference , seattle , washington ,",
56375,"a kezar , p eckel","& hellip ; educational research association , seattle , washington ,",
56376,portal.acm.org,,
56377,"jk romberg , h choi , r baraniuk","proc . spie ,",1999.0
56378,"k yu , a schwaighofer , v tresp , x xu , hp kriegel","ieee transactions on knowledge and data engineering ,",2004.0
56379,"jf wakeling , wh dobbie","bt technology journal ,",1998.0
56380,dh cai,"microsoft research technical report , msr-tr-2004-50 ,",
56381,"k tajima , y fukui","proceedings of the international conference on very large & hellip ; ,",2004.0
56382,"is baird , h thomas","the academy of management review ,",1985.0
56383,sls sheveland,,2003.0
56384,"s fischer , r lienhart , w effelsberg","proceedings of the third acm international conference on & hellip ; ,",1995.0
56385,i klotz,acc . chem .,
56386,"hkt wong , h liu , f olken , d rotem , l wong",11th international conference on very large data,
56387,j eyler,"new directions for higher education ,",1984.0
56388,"rm fisher , mj marcinkowski","phil . mag ,",
56389,sv kouroshgharachorloo,"technical report csl-tr-93-594 , stanford university , december",
56390,"v jaksic , y ogata , ca pillet",,
56391,"j cole , j derrick , z milosevic , k raymond","procs . of ieee conf . security and privacy ,",
56392,"x dong , jh ng , nq ngo , p shumâ ? ¦","proc . of 29th european conf . on optical communication , ecoc , & hellip ; ,",
56393,"k bialkowska , j lesniewski , m nietubyc , af","cellular and molecular biology letters ,",1999.0
56394,"ph loosemore , e sellin , sp rana","bt technology journal ,",1999.0
56395,"e david , a rogers , j schiff , s kraus , nr jennings","proceedings of acm conference on electronic commerce ,",2005.0
56396,"x shen , b tan , c zhai","proceedings of the 14th acm international conference on & hellip ; ,",2005.0
56397,j dozier,,
56398,"gu yfiksel , jl steele",,1995.0
56399,rb pickett,"& hellip ; telemetering conference , washington , d. c , proceedings ,",1971.0
56400,"ml dennis , rf boruch","new directions for program evaluation ,",
56401,kj krusick,,2001.0
56402,d weldon,"computerworld ,",
56403,"m karczmarek , w thies , s amarasinghe",,
56404,"gl messing , ks mazdiyasni , jw mc-cauley , ra haber",,1987.0
56405,"j marjoribanks , a lethaby , c farquhar","cochrane database syst rev ,",2003.0
56406,"ma garcã © s , ch hetzer , m willis , s businger",,
56407,"jl arocha , p valencia","discussiones mathematicae graph theory ,",2000.0
56408,"mj parker , hh handoll","cochrane database syst rev ,",2002.0
56409,r jornsten,,
56410,"gh hewig , f pfisterer , hw schock , w arndt , wh","san diego ,",
56411,"bm altura , bt altura","fed proc ,",1976.0
56412,"r sivaram , cb stunkel , dk panda",,
56413,"rm leonardi , g scarchilli , e gorgucci , c goretti","& hellip ; : conference on radar meteorology , 22nd , zurich , switzerland & hellip ; ,",1984.0
56414,"c galindo-legaria , t grabs , c kleinerman , f waas","proceedings of the 31st international conference on very & hellip ; ,",2005.0
56415,"k osamura , y hiraoka , y murakami","phil . mag. ,",1973.0
56416,a kerckhoff,,1953.0
56417,"a shatdal , jf naughton","computer sciences technical report-university of wisconsin & hellip ; ,",1996.0
56418,"d bitton , h boral , dj dewitt","acm transactions on database systems ,",
56419,"r goldman , j widom","vldb ,",1997.0
56420,"ws swail , e kampits","new directions for higher education ,",2001.0
56421,"r barrett , p maglio",proc . acm,
56422,v strumpen,,
56423,"rj miller , lm haas , m hernandez","proceedings of the 26th international conference on very & hellip ; ,",
56424,gl upham,,
56425,mr chalmers,seventh international world wide web,
56426,"d dey , s sarkar , apr model","acm transactions on database systems ,",
56427,"ch hansen , rd hansen","journal of personality and social psychology ,",1988.0
56428,"kst swift , ds warren",,1994.0
56429,p slavik,,
56430,mf kaashoek,,
56431,w greblicki,,
56432,m kontsevich,"communications in mathematical physics ,",1992.0
56433,nw macfadyen,"bt technology journal ,",2002.0
56434,"pa larson , j zhou","proceedings of the 31st international conference on very & hellip ; ,",2005.0
56435,aa disessa,"& hellip ; . mit laboratory for computer science , cambridge , ma ,",
56436,"d dewitt , r katz , f olken , l shapiro , mr","proceedings of the acm sigmod international conference on & hellip ; ,",
56437,p hansell,"j audiov media med ,",1978.0
56438,sl krauss,"proceedings of 10th medecos conference , april 25â ?? may 1 , & hellip ; ,",
56439,"l amini , r rose , c venkatramani , o verscheure , p","proceedings of the eleventh acm international conference on & hellip ; ,",2003.0
56440,"h fisher , a drummond","journal of emergency medicine ,",1999.0
56441,"t eiter , g gottlob , h mannila","acm transactions on database systems ,",1997.0
56442,"rwh sargent , gr sullivan",,
56443,rr knight,"bt technology journal ,",1998.0
56444,"d schaaf , gm linz , wj bleier , hj homan","proceedings of the 23rd sunflower research workshop , & hellip ; ,",
56445,"f nicastro , f fiore , g matt",,1998.0
56446,"kf guenaga , d matos , aa castro , an atallah , p","cochrane database syst rev ,",2003.0
56447,"e bayo , r ledesma","university of california at santa barbara , santa barbara , ca ,",
56448,"el fasanella , ke jackson","montreal , canada , june ,",
56449,"b smits , j arvo , d greenberg","proceedings of siggraph ,",1994.0
56450,"f mondragon , g quintero , a jaramillo , pj hall",,
56451,gh rassool,"journal of advanced nursing ,",2000.0
56452,k mickelson,"wisconsin international law journal ,",1998.0
56453,"y kato , k hasumi , s yokoyama , t yabe , h ikuta , y",,
56454,"jr condon , bk armstrong , a barnes , y zhao","submitted for publication ,",2004.0
56455,jw maessen,,2000.0
56456,"b larose , l zadori","submitted for publication ,",2004.0
56457,"t mandrup-poulsen , d owerbach , sa mortensen , k","lancet i ,",1984.0
56458,i friedman,"geochimica et cosmochimica acta ,",1958.0
56459,g john,,1983.0
56460,"s chakrabarti , s sarawagi , b dom",,
56461,"c beaver , r schroeppel , l snyder","authenticated information sharing , procs . of the 2001 ieee",
56462,rt plant,"information and software technology ,",1991.0
56463,lf lenze,"new directions for teaching and learning ,",1995.0
56464,"d hotch , af grunfeld , k mackay , l cowan","journal of emergency medicine ,",1996.0
56465,"f berzal , n matãn","acm sigmod record ,",2002.0
56466,"e rosell , k miller , k barber","public personnel management ,",1995.0
56467,"dw knapp , ac parker","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
56468,g apostolides,,1978.0
56469,m sullivan-trainor,"computerworld ,",
56470,"dr engler , m poletto",,1997.0
56471,"pa bernstein , n goodman","vldb ,",1980.0
56472,jd williams,"application development trends ,",1999.0
56473,"j rabinow , pf chang , ly chu , yk wu","proceedings 25 th annual 1991 ieee international carnahan & hellip ; ,",1991.0
56474,"i kolar , pw michor , j slovã ¡ k",,1993.0
56475,ke robinson,"new directions for higher education ,",1973.0
56476,"j gugenheim , f crafa , p fabiani , b goubaux","transplantation proceedings ,",1993.0
56477,"g pelagatti , fa schreiber","proceedings of the 1979 acm sigmod international conference & hellip ; ,",1979.0
56478,"m charikar , s guha , e tardos , db shmoys",,
56479,b devlin,"electronic library ,",1997.0
56480,t henkel,"computerworld ,",1981.0
56481,m van den bergh,,
56482,"rm felciano , p dev","& hellip ; . technical report , stanford university scool of medicine ,",
56483,"r vaughan , n sumpter , j henderson , a frost , s",,
56484,"v braganholo , s davidson , ca heuser",,
56485,c bahre,"geography ,",
56486,s solovitch-haynes,"social studies and the young learner ,",1996.0
56487,"w doberenz , t kowalski",,1997.0
56488,"m rafanelli , fl ricci","sigmod record ,",1991.0
56489,m gordon,"ms. university of california , santa",
56490,"a gargaro , y kermarrec , l pautet , s tardieu","lecture notes in computer science ,",1996.0
56491,"rf goodwin , w james","& hellip ; two small communities waterfronts : a national demonstration & hellip ; ,",
56492,rp gagan,"electronic progress ,",
56493,rj perlman,"computer networks ,",
56494,e dahlhaus,unpublished,
56495,"hm dewan , sj stolfo , m hernandez , jj hwang","sigmod conference ,",1994.0
56496,"j shanmugasuudaram , k tufte , c zhang , g he , dj","vldb &#39; 99 , proceedings of 25th international conference on & hellip ; ,",
56497,ã ? ã 1/4 ber cyclene,"acc . chem . res ,",
56498,"rj van vark , jpm de vreught , ljm rothkrantz","lecture notes in computer science ,",1997.0
56499,lm handleyâ ? ¦,"social studies and the young learner ,",1989.0
56500,jd westphal,"the academy of management journal ,",1999.0
56501,"r riediger , p petitjean , jp mucket",,
56502,v pillai,acc . chem .,
56503,me depi'e,computer,
56504,"ja matochik , te nordahl , m gross , we semple","neuropsychopharmacology-san diego - ,",1993.0
56505,"y yu , vk prasanna",,
56506,"t jiang , c trendall , s wang , t wareham , x zhang","submitted for publication ,",
56507,t ersavas,oopslaâ ?? 97,
56508,m alison,"transplant proc ,",2002.0
56509,"wl yao , dl yang , xp hu",proceedings of the international conference on management,
56510,"h colina , s roux","the european physical journal e-soft matter ,",2000.0
56511,"z tari , j stokes , s spaccapietra","acm trans . on database systems ,",
56512,r jain,"proceedings of the ninth acm international conference on & hellip ; ,",2001.0
56513,d jonsson,"acm sigmod record ,",1990.0
56514,pc shukla,"journal of emergency medicine ,",1994.0
56515,"t you , h hassanein , ch yeh",,
56516,"lm haas , ma hernandez , h ho , l popa , m roth","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0
56517,j venn,"phil . mag ,",
56518,"ja redmond , kt ryan","information and software technology ,",
56519,da taylor,"computerworld ,",
56520,"w lee , m hwang , s park","proceedings of the 25 thkiss fall conference , pp623-625 ,",
56521,"yk lee , ky whang , ys moon , iy song","vldb ,",2002.0
56522,jh luft,,1966.0
56523,"am isen , te shalker , m clark , l karp","journal of personality and social psychology ,",1978.0
56524,"n monserrat , t palanca , m deppe , b hartman","technical document , sybase inc. , april ,",
56525,m postel,,1989.0
56526,n mamoulis,"sigmod conference ,",2003.0
56527,y zhang,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2002.0
56528,"a niederlinski , j figwer","applied mathematics and computer science ,",1998.0
56529,jh colmenares,,1975.0
56530,e integrationsforschung,,
56531,t huddleston jr,"new directions for higher education ,",2000.0
56532,i tti,,
56533,"w adam , m prein","acc . chem . res ,",1996.0
56534,"y liu , hb sun , mp vincenti , m goldring , h yokota",,
56535,"j segen , s kumar","proceedings of the sixth acm international conference on & hellip ; ,",1998.0
56536,"t zhang , r ramakrishnan , m livny",proceedings of acm sigmod international conference,
56537,"re maclaury , b galloway","proceedings of the 23rd international conference on salish & hellip ; ,",
56538,j welinske,"pc magazine-november ,",
56539,rj novak,"new directions for higher education ,",2002.0
56540,i fajfar,,
56541,"m levene , g loizou","acm transactions on database systems ,",1999.0
56542,"bs ahn , sh sohn , cy kim , gi cha , yc baek , si jung ,","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
56543,"g benelli , g castellini , e del re , r fantacci , l","proc . int . conf . globecom ,",
56544,usp xxiii,"md ,",
56545,"mt maloney , jh mulherin",,
56546,f volpeâ ? ¦,"proc . 28th eps conf . on contr . fusion . and plasmaphysics ( & hellip ; ,",
56547,"s amer-yahia , n koudas , a marian , d srivastava , dt",,2005.0
56548,"js stark , ma lowther","new directions for teaching and learning ,",1989.0
56549,ht kung,"acm transactions on database systems ,",1981.0
56550,"p lomax , gv knox","see ref ,",
56551,"sjt condie , g hare , t baden","bt technology journal ,",2001.0
56552,sa macklin,,1999.0
56553,r riordan,,
56554,"j pilemalm , a zika-viktorsson","& hellip ; of the tenth international conference on management of & hellip ; ,",
56555,cm judd,"new directions for program evaluation ,",1987.0
56556,"d jiang , c tang , a zhang","ieee transactions on knowledge and data engineering ,",2004.0
56557,"f bancilhon , d maier , y sagiv , jd ullman","proc . fifth acm seact-sigmod symp . on principles of database & hellip ; ,",
56558,"m watzlawek , g nigele",,
56559,s bruiltet,,
56560,"k rothermel , s pappe","acm transactions on database systems ,",1993.0
56561,ma windhouwer,,2001.0
56562,w hasan,"& hellip ; rewrite optimization in starburst . ibm almaden research & hellip ; ,",
56563,"ad roberts , z zhang , tw young , cr thomas","isbn ,",
56564,"rd sharma , pc shukla , ak nichani , nk rakha , s","proceedings of the 23rd world veterinary congress , montreal , & hellip ; ,",
56565,"ka devaul , ce garner","journal of emergency nursing ,",1997.0
56566,"l jin , n koudas , c li , ak tung",,
56567,"d tranel , ja fiez , h damasio , r adolphs , g cooper ,",submitted for,
56568,"j kittler , ks fu , lf pau","proceedings of the nato advanced study institute . d. reidel & hellip ; ,",
56569,d keltner,"journal of personality and social psychology ,",1995.0
56570,"v mazzaferro , a tagger , m schiavo , e regalia , a","transplantation proceedings ,",2001.0
56571,"s chaiken , d maheswaran","journal of personality and social psychology ,",1994.0
56572,m tistarelli,"procs . 2 ndnatl . conf . of pft2 ,",
56573,"t figliulo , a von mayrhauser , r karcich","procs . 1996ieeeaerospaceapplicationsconference , february ,",
56574,ja barnden,"procs . twentieth annual meeting of the cognitive science & hellip ; ,",
56575,ms chaiken,,1983.0
56576,"s chandhuri , k shim",proceedings of the international vldb,
56577,"h kargupta , bh park","ieee transactions on knowledge and data engineering ,",2004.0
56578,j prosise,pc,
56579,"a agadi , jp penot",submitted for,
56580,"w hun , d buttler , c pu","sigmod record ,",2001.0
56581,m bawa,,2003.0
56582,"me boon , po gerrits , he moorlag , p nieuwenhuis , lp","the histochemical journal ,",1988.0
56583,cb dahlem,"new directions for higher education ,",1996.0
56584,am saxton,"pp. 1243ã ? 1246 . in proceedings of the 23rd sas users group & hellip ; ,",
56585,"j nieplocha , b carpenter","lecture notes in computer science ,",1999.0
56586,j zahradnik,"submitted to tectonophysics ,",
56587,y ioannidis,"proceedings of the 14th acm international conference on & hellip ; ,",2005.0
56588,c mohan,"acm tods ,",
56589,"w peng , l per-ake","proc of the 21st int &#39; l conf on very large data bases . san & hellip ; ,",
56590,"j dobes , l pospisil",,
56591,"l kang , s lahaie , g mainland , dc parkes , m welsh",proc . 11th acm sigops european,
56592,"cj powell , a jablonski","md ,",
56593,s shieber,"proceedings of the 23rd annual meeting of the association & hellip ; ,",
56594,"jr suchard , fr fenton , rd powers","journal of emergency medicine ,",1999.0
56595,"mj karam , fa tobagi","computer networks ,",2002.0
56596,rp taylorâ ? ¦,,1980.0
56597,"k ross , d chatziantoniou","proceedings of the 23rd vldb conference ,",
56598,b melluish,diabetes,
56599,a fahmy,"proceedings of the 25 thannual emsa meeting ,",
56600,"c sastry , d lewis , aw pizano","proceedings acm multimedia ,",
56601,"sgl roana , p valduriez","proceedings of the 17th vldb conjennce , pagee ,",
56602,"ce kozyrakis , da patterson","ieee computer ,",1998.0
56603,ea jones,"new directions for higher education ,",1992.0
56604,lm baumgartner,"new directions for adult and continuing education ,",2001.0
56605,je brandl,"new directions for program evaluation ,",1980.0
56606,"w rasband , j image","md ,",
56607,"da bell , j grimson , dho ling","information & software technology ,",1987.0
56608,t kerievsky,"pc magazine , ( 17 ) ,",
56609,"mh kim , s pramanik","proceedings of the 1988 acm sigmod international conference & hellip ; ,",1988.0
56610,ls colby,"proceedings of the 1989 acm sigmod international conference & hellip ; ,",1989.0
56611,"pl lions , f murat",to,
56612,jb rothnie,"proc . acm sigmod workshop on data description , access and & hellip ; ,",
56613,y hayut,"economic geography ,",1981.0
56614,lfg sarmenta,"lecture notes in computer science ,",1998.0
56615,l karapiperis,"nat . observatory of greece , athens ,",
56616,a destefano,submitted for,
56617,cv ramamoorthy,,
56618,w kieã?ling,,
56619,"g copeland , w alexander , e boughter","proceedings of the acm sigmod international conferenceon & hellip ; ,",
56620,"r nuss , as bransden , j hoffmann","& hellip ; applications in the automotive industry , proceedings , 25 th & hellip ; ,",1992.0
56621,i gyarmati,,1970.0
56622,j paredis,"lecture notes in computer science ,",1994.0
56623,lm brown,"phil . mag ,",
56624,"dg lockhart , kt mason","geography ,",
56625,k johnston,"san diego law review ,",1998.0
56626,"t evans , dh sauter","phil . mag ,",
56627,"w wang , j yang","proc . conf . vldb ,",
56628,"yss luo , bm peng",proc . 21st int &#39; l conference on ground control in,
56629,rh bube,,1960.0
56630,"tw yan , h garcia-molina",,
56631,"rj schmidt , l khan , ly chung","archives of dermatological research ,",1990.0
56632,"ga fitzgerald , c healy , j daugherty","fed proc ,",1987.0
56633,"j gelati , g governatori , a rotolo , g sartor",,
56634,"l lamel , jl gauvain","proc . eurospeech ,",
56635,"f borgonovo , l fratta",proc . int . conf . computer,
56636,"k axell , d chen , a gerwing , l hildingsson , r","proceedings from the 25 thesarda annual meeting in stockholm ,",
56637,p atzeni,"proc . international conference on very large databases ,",
56638,js stark,"new directions for higher education ,",1976.0
56639,jj gross,"journal of personality and social psychology ,",1998.0
56640,"b mitschang , m jaedicke",,
56641,"m qaim , a de janvry","unpublished manuscript ,",
56642,c robinson,"social studies and the young learner ,",1991.0
56643,"m bobrowska-hagerstrand , a iglic , h hagerstrand","cellular and molecular biology letters ,",1997.0
56644,mz kwiatkowska,"information and software technology ,",1989.0
56645,g navarro,6th south american symposium on string processing and,
56646,rd luce,,
56647,"s ginsburg , sa greibach , ma harrison","journal of the acm ( jacm ) ,",1967.0
56648,"a dogac , y kabak , g laleci , s sinir , a yildiz , s","sigmod record ,",2004.0
56649,"q chen , y kambayashi",,
56650,"j kohl , c neuman","technical report , massachusetts institute of technology ,",
56651,"pr kit , u edition , l wall , n patwardhan , e siever ,",,
56652,"i bartolini , p ciaccia , f waas","proceedings of the international conference on very large & hellip ; ,",2001.0
56653,s prichanont,,2002.0
56654,"cc tseng , gc lee , rs liu","proc . 21st ieee int . conf . on distributed computing systems & hellip ; ,",
56655,"jg riecke , r viswanathan","unpublished manuscript ,",
56656,"ht kung , jt robinson","acm transactions on database systems ,",
56657,"p horton , k nakai","proc . int . conf . intell . syst . mol . biol ,",1997.0
56658,"m konstantopoulos , t spyrou , j darzentas","computer networks ,",2001.0
56659,"sl frederiksen , kw jacobsen","phil . mag ,",
56660,"g bella , lc paulson","lecture notes in computer science ,",1998.0
56661,"a ouwerkerk , h stuckenschmidt",,
56662,"x wang , m cherniack","brandeis technical report , june",
56663,"a rosenthaj , s cha","proceedings 15th international conference on very large data & hellip ; ,",
56664,r srikant,,1996.0
56665,c manning,"unpublished manuscript ,",
56666,ã ? bliding,"european journal of clinical pharmacology ,",1974.0
56667,m betts,,
56668,va walsh,san diego,
56669,"au shankar , ss lam","md ,",
56670,m weimer,"new directions for teaching and learning ,",1989.0
56671,"hm kim , ms fox , m grã 1/4 ninger","bt technology journal ,",1999.0
56672,u varshney,,
56673,"s rocheleau , m martel , g bardai , s wong , m","proceedings of setac 23rd annual meeting in north america , & hellip ; ,",
56674,"ce wills , g trott , m mikhailov","computer networks ,",2003.0
56675,"m gyssens , lvs lakshmanan",,1997.0
56676,y croisille,"demonstration al &#39; aide ,",
56677,"hs bal , p mungkornkarn","proc . int . cong . toxicol ,",
56678,j dobbs,,1793.0
56679,l fonseca,,1966.0
56680,fh mies,"study of comets , proceedings of iau colloq . 25 , held in & hellip ; ,",1976.0
56681,"hh shi , je field , cs pickles","proc . 21st int . symp . on shock waves ,",
56682,mn silkwood,,2000.0
56683,j hellmuth,,1966.0
56684,"p stone , m veloso","lecture notes in computer science ,",1999.0
56685,"hua xian-sheng , l lu , hj zhang","proceedings of the eleventh acm international conference on & hellip ; ,",2003.0
56686,h kaiser,,1989.0
56687,"j hammer , h garcia-molina , s nestorov , r yerneni ,","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0
56688,cg darwin,"phil . mag ,",
56689,"g berline , e perratore","pc magazine ,",
56690,"av levitin , tc redman","information and software technology ,",1993.0
56691,"l qiu , vn padmanabhan",,
56692,"de brooks , ka graeme , am ruha , da tanen","journal of emergency medicine ,",2002.0
56693,"sg rao , a badia , d van gucht","proceedings of the 1996 acm sigmod international conference & hellip ; ,",1996.0
56694,"w teng-jiao , t shi-wei , y dong-qing , g jun , w yu -",proceedings of the 2002 acm sigmod international conference,
56695,"je edwards , yk loke , ra moore , hj mcquay","cochrane database syst rev ,",2004.0
56696,avzurf des erlernens,,
56697,r podeschi,"new directions for adult and continuing education ,",1990.0
56698,"r krumme , j hayes , s sweeney","proc . spie ,",1995.0
56699,"tn gladwin , jj kennelly , ts krause","the academy of management review ,",1995.0
56700,p bernstein,"database syst ,",
56701,sp tosca,"proceedings 10th acm hypertext conference . acm ,",
56702,y hamadi,,
56703,"sg tzafestas , dg koutsouris , ni katevas",,1997.0
56704,"a srivastava , m sarrafzadeh","proc . acm/ieee iccad ,",
56705,"a biliris , e panagos","sigmod conference ,",1994.0
56706,"ga stratakis , dl psarianos , am stamatelos",,
56707,jd campbell,"demonstration at cscw ,",
56708,"ra lorie , hc young","vldb ,",1989.0
56709,"j schindler , a ailamaki , gr ganger","proceedings of the international conference on very large & hellip ; ,",2003.0
56710,"a piva , m barni , f bartolini",,1997.0
56711,a herod,"economic geography ,",1995.0
56712,"b blumenauer , m judd , a cranney , a burls , d coyle ,","cochrane database syst rev ,",2003.0
56713,"n krishnakumar , a sheth","proc . vldb ,",1994.0
56714,jg proakis,,1983.0
56715,"r lauwereins , m engels , m adã © , ja peperstraete",,
56716,"c sechen , a sangiovanni-vincentelli","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
56717,j hromkovi,"proc . 28th acm symp . on theory of comp ,",
56718,"p atezni , g mecca , p merialdo","athens , greece , august ,",
56719,t pub,,
56720,mc elias,,1990.0
56721,f yates,,
56722,"s mikulas , m marx","procs . advances in modal logic , leipzig , germany , october ,",
56723,"j domingo-ferrer , ph hartel","computer networks ,",2001.0
56724,"re lincoln , js walker , f klein , aj rosenwald , wi","fed . proc ,",1967.0
56725,p press,"new york ,",
56726,h pirahesh,,
56727,"s basu , r pollack , mf roy","journal-acm ,",1996.0
56728,dk clark,,
56729,mw hosseini,"acc . chem . res ,",2005.0
56730,ghj dds,"the journal of prosthetic dentistry . seattle , washington ,",
56731,"f kon , f costa , gs blair , r campbell","acm comminications ,",
56732,"pl powell , m hall , jh klein","information and software technology ,",
56733,"b huang , sl shah , ek kwok","proc . of american control conference , seattle , washington ,",1995.0
56734,ljen mã © xico,,
56735,"v kashyap , a sheth","the vldb journal-an international journal on very large & hellip ; ,",
56736,i abt associates,,1997.0
56737,"sf matusik , cwl hill","the academy of management review ,",1998.0
56738,bh wiik,talk,
56739,"a hinneburg , da keim , m wawryniuk","sigmod conference ,",2002.0
56740,"km kerr , dr schulze","new directions for adult and continuing education ,",1995.0
56741,rt snodgrass,"sigmod record ,",
56742,"j hagelstein , f fathinejad , w stremmel , pr galle","virology-new york - ,",1997.0
56743,a guttman,"proc . acm sigmod ,",
56744,nm holmer,"clare . part i ,",
56745,oo ja,"proc . acm sigmod int . conf . on management of data , portland , & hellip ; ,",
56746,a gallery,"london . microsoft ,",
56747,"s bernhard , l per-ke , m ron",,1993.0
56748,"m hagberg , i goldie , c hogstedt , ã ? kilbom , a","proceedings of the 23rd international congress on & hellip ; ,",
56749,"wf de boer , af blijdenstein , f longamane","unpublished manuscript ,",
56750,j giesl,"lecture notes in computer science ,",1995.0
56751,jw maessen,mit laboratory for computer,
56752,e babb,"acm transactions on database systems ,",1979.0
56753,"s li , jc majithia","computer networks ,",1984.0
56754,"e acerbi , g bouchitte , i fonseca",to,
56755,"c preece , s stocking",,1999.0
56756,"ir sweet , dl cook , e dejulio , ar wallen , g khalil ,","diabetes-new york - ,",2004.0
56757,d ganster,"md ,",
56758,gk bhat,,
56759,i berberana,"proceedings of the 23rd annual symposium on simulation ,",1990.0
56760,"ks sang , jl yoon","information sciences ,",1996.0
56761,"j grey , p helland",proc . acm,
56762,k chueng,"sigmod record ,",
56763,le ballentine,"phil . mag ,",
56764,"pd md , jw charbonneau",,
56765,"t kostova , s zaheer","the academy of management review ,",1999.0
56766,"m conway , r pausch , r gossweiler , t burnette",adjunct proceedings of acm,
56767,b butch,,1999.0
56768,"b scholkopf , r herbrich , aj smola","lecture notes in computer science ,",2001.0
56769,"im white , d wonglumsom , k shrikhande , sm gemelos ,","computer networks ,",2000.0
56770,"jc french , ak jones , jl pfaltz","sigmod record ,",
56771,j chomicki,,
56772,"ma perry , jc parker","see ref ,",
56773,j kraiovec,,
56774,"rt merril , mw mcelhinny , pl mcfadden","san diego , calif ,",
56775,"khhb pfiesser , a pommert , m riemer , t schiemann , r","ieee computer ,",
56776,"r bridson , s marino , r fedkiw",,
56777,"jr williams , n rege","technical report , massachusetts institute of technology , dept.",
56778,"h tanaka , a iwai , j oda , y kuwagata , t matsuoka , t","journal of emergency medicine ,",1998.0
56779,"pe allen , al coban","electronic letters ,",
56780,m sequeira,,
56781,d solomon,,1998.0
56782,unp fund,"bolivia , at ,",
56783,a weisberg,"new york , ny : manpower demonstration research corporation ,",
56784,"m mullerburg , d meyerhoff","information and software technology ,",1993.0
56785,msf levy,,1967.0
56786,"a syrbu , v iakovlev , g suruceanu , ca berseth , a",proc . 28th eur . conf . optical communication,
56787,lm krishna,,1998.0
56788,", c thies , b fischer , d keysers , bb wein , tm",,
56789,"da robinson , cr lester , nm hamilton","www7 / computer networks ,",1998.0
56790,"p buneman , l raschid , j ullman",,
56791,"pjj van rensburg , p shung-shi , a garcãa - luis , f","proc . int . soc . citriculture ,",
56792,"wh sewell , rm hauser",,1975.0
56793,j rice,"phil . mag ,",
56794,"sy hsieh , gh chen , cw ho",submitted for,
56795,"r duhmke , d cornblath , j hollingshead","cochrane database syst rev ,",2004.0
56796,"se miller , ip kaminow","san diego ,",
56797,lr kahn,"proc . ire ,",
56798,"hs drier , jk lee","social studies and the young learner ,",1999.0
56799,"es pritchard , rd guy",,2000.0
56800,t studies,"san diego ,",
56801,dj parker,"applied geography ,",1995.0
56802,"m ester , h kriegel","proceedings of 26th international conference on very large & hellip ; ,",2001.0
56803,tp well,"journal of emergency medicine ,",1995.0
56804,gpp version,"san diego ,",
56805,"jb farr , p lisonek",,
56806,"t midwinter , pj sheppard","bt technology journal ,",2000.0
56807,ld paulson,,
56808,j hellerstein,"sigmod record ,",2003.0
56809,"jd clark , ja hoffer",proceedings of the 1978 acm sigmod international conference,
56810,"c bouras , a gkamas , c bouras , a gkamas","computer networks ,",2005.0
